epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,299.992,0.2764,0.29049,0.29099,0.89968,0,0.99926,0.97647,0.97609,0.97389,0.99926,0.97647,0.97508,0.97508,0.12722,0.14839,0.19383,0.71476,0,0.0053763,0.0017921,0.0053763,0.0017921,0.0053763,0.0017921,0.0053763,0.0017921
23,312.83,0.27335,0.31941,0.29242,0.89082,0,0.99915,0.97647,0.97616,0.97526,0.99915,0.97647,0.97509,0.97509,0.13876,0.1455,0.20006,0.72429,0,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
24,325.676,0.27399,0.27753,0.28389,0.90019,0,0.99931,0.97647,0.97524,0.97511,0.99931,0.97647,0.97508,0.97508,0.14037,0.13164,0.2213,0.72855,0,0.0053169,0.0017723,0.0053169,0.0017723,0.0053169,0.0017723,0.0053169,0.0017723
25,338.509,0.27612,0.29406,0.28974,0.89812,0,0.99931,0.97647,0.9753,0.97518,0.99931,0.97647,0.97509,0.97509,0.13636,0.1512,0.18786,0.71974,0,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
26,351.251,0.275,0.30534,0.27646,0.90077,0,0.99933,0.97647,0.97522,0.97512,0.99933,0.97647,0.97509,0.97509,0.13074,0.15612,0.1607,0.71361,0,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525
27,364.116,0.2737,0.32415,0.27211,0.8915,0,0.99932,0.97647,0.97532,0.97511,0.99932,0.97647,0.97508,0.97508,0.12028,0.14498,0.17958,0.70669,0,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
28,376.991,0.27131,0.28402,0.27491,0.89523,0,0.99901,0.97647,0.97524,0.9751,0.99901,0.97647,0.97508,0.97508,0.12991,0.13787,0.31608,0.71404,0,0.0051981,0.0017327,0.0051981,0.0017327,0.0051981,0.0017327,0.0051981,0.0017327
29,389.868,0.27481,0.31538,0.28,0.9011,0,0.99921,0.97647,0.97587,0.97547,0.99921,0.97647,0.97509,0.97509,0.13093,0.13972,0.20049,0.71681,0,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
30,402.678,0.25902,0.29428,0.26018,0.89,0,0.99933,0.97647,0.97561,0.97174,0.99933,0.97647,0.97512,0.97166,0.1379,0.12876,0.15502,0.71817,0,0.0051387,0.0017129,0.0051387,0.0017129,0.0051387,0.0017129,0.0051387,0.0017129
31,415.528,0.26516,0.29101,0.26101,0.89425,0,0.99929,0.97647,0.9755,0.97519,0.99929,0.97647,0.97511,0.97511,0.13609,0.13214,0.1719,0.72789,0,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
32,428.38,0.26561,0.27071,0.26457,0.89767,0,0.99892,0.97647,0.97511,0.97385,0.99892,0.97647,0.97511,0.97511,0.13871,0.14893,0.16073,0.7197,0,0.0050793,0.0016931,0.0050793,0.0016931,0.0050793,0.0016931,0.0050793,0.0016931
33,441.213,0.2676,0.29797,0.26194,0.89321,0,0.99927,0.97647,0.9753,0.97223,0.99927,0.97647,0.97512,0.97512,0.12579,0.11861,0.16429,0.71416,0,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
34,453.954,0.26045,0.25068,0.2558,0.88902,0,0.99902,0.97647,0.97521,0.97514,0.99902,0.97647,0.97511,0.97511,0.12168,0.11383,0.17176,0.71458,0,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733
35,466.797,0.26022,0.27512,0.25421,0.89814,0,0.99926,0.97647,0.97631,0.97537,0.99926,0.97647,0.97513,0.97513,0.12388,0.12384,0.16006,0.71074,0,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
36,479.672,0.25895,0.25291,0.25149,0.88927,0,0.99973,0.97647,0.97544,0.9752,0.99973,0.97647,0.97514,0.97514,0.11301,0.13841,0.18006,0.70256,0,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535
